"","winner","opponent_rank","aces","double_faults","surface","first_srv_pctg","minutes"
"406","Andy Roddick",59,15,1,0.8,0.65,85
"407","Andy Roddick",36,8,0,0.8,0.8,59
"408","Andy Roddick",293,21,8,0.76,0.62,87
"409","Andy Roddick",56,12,7,0.76,0.58,163
"410","Andy Roddick",38,4,0,0.64,0.58,67
"411","Andy Roddick",55,8,5,0.64,0.65,117
"412","Andy Roddick",16,11,7,0.64,0.62,133
"413","Andy Roddick",154,13,2,0.76,0.65,98
"414","Andy Roddick",54,10,1,0.76,0.76,117
"415","Andy Roddick",187,17,2,0.76,0.64,57
"416","Andy Roddick",48,12,4,0.76,0.64,56
"417","Andy Roddick",137,16,1,0.76,0.77,103
"418","Andy Roddick",92,17,2,0.76,0.67,121
"419","Andy Roddick",102,37,4,0.76,0.73,164
"420","Andy Roddick",38,20,0,0.76,0.75,66
"421","Andy Roddick",65,7,1,0.76,0.69,81
"422","Andy Roddick",33,13,0,0.76,0.62,66
"423","Andy Roddick",10,15,3,0.76,0.62,78
"424","Andy Roddick",22,18,0,0.76,0.78,60
"425","Andy Roddick",14,13,1,0.76,0.59,78
"426","Andy Roddick",2,17,1,0.76,0.68,108
"427","Andy Roddick",3,14,2,0.76,0.69,90
"428","Andy Roddick",41,22,1,0.76,0.65,115
"429","Andy Roddick",60,15,2,0.76,0.62,87
"430","Andy Roddick",40,22,3,0.76,0.61,171
"431","Andy Roddick",31,19,5,0.76,0.74,123
"432","Andy Roddick",11,8,0,0.76,0.65,87
"433","Andy Roddick",119,13,5,0.76,0.57,134
"434","Andy Roddick",86,10,0,0.76,0.57,99
"435","Andy Roddick",72,11,1,0.76,0.58,128
"436","Andy Roddick",1,17,1,0.76,0.69,115
"437","Andy Roddick",138,17,0,0.76,0.76,77
"438","Andy Roddick",94,14,0,0.76,0.77,61
"439","Andy Roddick",57,21,6,0.64,0.71,246
"440","Andy Roddick",41,30,5,0.76,0.72,126
"441","Andy Roddick",12,17,3,0.76,0.63,97
"442","Andy Roddick",73,5,0,0.76,0.64,57
"443","Andy Roddick",26,11,1,0.76,0.7,110
"444","Andy Roddick",10,5,1,0.76,0.67,97
"445","Andy Roddick",107,16,1,0.76,0.71,98
"446","Andy Roddick",32,8,2,0.76,0.73,106
"447","Andy Roddick",12,10,3,0.76,0.69,140
"448","Andy Roddick",3,5,0,0.76,0.81,69
"449","Andy Roddick",52,20,0,0.76,0.76,67
"450","Andy Roddick",51,11,0,0.76,0.8,62
"451","Andy Roddick",37,11,1,0.76,0.78,103
"452","Andy Roddick",103,16,3,0.76,0.74,131
"453","Andy Roddick",19,8,1,0.76,0.68,104
"454","Andy Roddick",84,13,1,0.76,0.81,95
"455","Andy Roddick",81,13,0,0.76,0.68,113
"456","Andy Roddick",89,11,0,0.8,0.64,56
"457","Andy Roddick",49,18,3,0.8,0.59,100
"458","Andy Roddick",29,24,2,0.8,0.78,82
"459","Andy Roddick",75,9,2,0.64,0.72,143
"460","Andy Roddick",73,8,0,0.76,0.74,62
"461","Andy Roddick",92,11,0,0.76,0.69,103
"462","Andy Roddick",48,13,0,0.76,0.84,67
"463","Andy Roddick",13,8,1,0.76,0.73,122
"464","Andy Roddick",191,9,1,0.76,0.52,104
"465","Andy Roddick",195,19,2,0.76,0.69,160
"466","Andy Roddick",60,22,1,0.76,0.75,97
"467","Andy Roddick",22,13,2,0.76,0.63,106
"468","Andy Roddick",3,16,5,0.76,0.71,150
"469","Andy Roddick",305,11,1,0.64,0.77,94
"470","Andy Roddick",85,15,1,0.64,0.77,111
"471","Andy Roddick",46,7,0,0.64,0.68,104
"472","Andy Roddick",28,8,0,0.76,0.65,82
"473","Andy Roddick",11,12,0,0.76,0.68,157
"474","Andy Roddick",4,4,1,0.76,0.66,103
"475","Andy Roddick",368,7,2,0.76,0.63,63
"476","Andy Roddick",45,10,1,0.76,0.65,81
"477","Andy Roddick",65,8,1,0.76,0.62,98
"478","Andy Roddick",41,21,1,0.8,0.72,132
"479","Andy Roddick",39,18,5,0.8,0.7,127
"480","Andy Roddick",30,33,1,0.8,0.72,174
"481","Andy Roddick",20,24,0,0.8,0.7,109
"482","Andy Roddick",56,43,4,0.8,0.73,231
"483","Andy Roddick",3,21,1,0.8,0.74,187
"484","Andy Roddick",47,8,0,0.76,0.59,55
"485","Andy Roddick",26,3,6,0.76,0.66,95
"486","Andy Roddick",33,7,2,0.76,0.74,96
"487","Andy Roddick",80,9,1,0.76,0.69,151
"488","Andy Roddick",341,11,2,0.76,0.67,124
"489","Andy Roddick",16,14,0,0.76,0.73,121
"490","Andy Roddick",93,13,2,0.8,0.73,83
"491","Andy Roddick",37,25,1,0.8,0.72,143
"492","Andy Roddick",35,28,0,0.8,0.71,176
"493","Andy Roddick",78,8,2,0.76,0.67,102
"494","Andy Roddick",149,15,2,0.76,0.71,116
"495","Andy Roddick",57,17,2,0.76,0.66,130
"496","Andy Roddick",32,5,0,0.76,0.77,52
"497","Andy Roddick",80,8,1,0.76,0.62,124
"498","Andy Roddick",35,11,0,0.76,0.78,132
"499","Andy Roddick",46,29,3,0.76,0.74,212
"500","Andy Roddick",11,33,0,0.76,0.68,205
"501","Andy Roddick",39,9,0,0.76,0.63,62
"502","Andy Roddick",26,12,0,0.76,0.79,93
"503","Andy Roddick",46,10,1,0.76,0.63,135
"504","Andy Roddick",50,8,2,0.76,0.62,104
"505","Andy Roddick",5,26,4,0.76,0.6,164
"506","Andy Roddick",3,8,4,0.76,0.57,83
"507","Andy Roddick",226,11,1,0.76,0.75,67
"508","Andy Roddick",76,7,0,0.76,0.74,74
"509","Andy Roddick",23,16,2,0.76,0.73,103
"510","Andy Roddick",31,21,1,0.76,0.73,120
"511","Andy Roddick",77,15,0,0.76,0.67,84
"512","Andy Roddick",134,9,0,0.76,0.83,81
"513","Andy Roddick",52,16,1,0.76,0.75,85
"514","Andy Roddick",20,7,1,0.76,0.74,128
"515","Andy Roddick",12,7,1,0.76,0.77,125
"516","Andy Roddick",181,8,2,0.76,0.55,83
"517","Andy Roddick",60,5,1,0.76,0.76,91
"518","Andy Roddick",22,16,1,0.76,0.76,98
"519","Andy Roddick",36,10,0,0.76,0.69,76
"520","Andy Roddick",29,11,0,0.76,0.73,75
"521","Andy Roddick",69,19,2,0.64,0.65,199
"522","Andy Roddick",112,13,3,0.64,0.64,177
"523","Andy Roddick",103,10,0,0.76,0.79,79
"524","Andy Roddick",73,10,1,0.76,0.58,75
"525","Andy Roddick",28,13,0,0.76,0.69,91
"526","Andy Roddick",23,6,2,0.76,0.69,78
"527","Andy Roddick",7,12,1,0.76,0.65,107
"528","Andy Roddick",55,22,2,0.76,0.76,117
"529","Andy Roddick",114,10,3,0.76,0.69,101
"530","Andy Roddick",40,12,1,0.76,0.71,80
"531","Andy Roddick",72,3,1,0.76,0.72,56
"532","Andy Roddick",39,8,2,0.76,0.71,81
"533","Andy Roddick",38,4,1,0.76,0.69,79
"534","Andy Roddick",4,15,3,0.76,0.66,126
"535","Andy Roddick",20,13,2,0.76,0.62,103
"536","Andy Roddick",105,12,1,0.8,0.74,51
"537","Andy Roddick",128,4,0,0.76,0.59,84
"538","Andy Roddick",96,14,4,0.76,0.69,177
"539","Andy Roddick",555,11,1,0.76,0.71,120
"540","Andy Roddick",81,21,0,0.76,0.66,128
"541","Andy Roddick",5,19,2,0.76,0.69,160
"542","Andy Roddick",41,15,4,0.8,0.74,133
"543","Andy Roddick",39,8,2,0.8,0.73,79
"544","Andy Roddick",23,3,2,0.8,0.66,65
"545","Andy Roddick",96,18,2,0.76,0.68,100
"546","Andy Roddick",99,17,5,0.76,0.67,124
"547","Andy Roddick",62,32,3,0.76,0.69,146
"548","Andy Roddick",156,30,1,0.8,0.72,135
"549","Andy Roddick",63,15,0,0.8,0.65,112
"550","Andy Roddick",107,11,1,0.76,0.66,73
"551","Andy Roddick",56,5,0,0.76,0.6,67
"552","Andy Roddick",36,9,1,0.76,0.71,67
"553","Andy Roddick",212,12,1,0.76,0.67,71
"554","Andy Roddick",25,10,3,0.76,0.67,104
"555","Andy Roddick",74,23,4,0.76,0.58,92
"556","Andy Roddick",51,14,4,0.76,0.64,91
"557","Andy Roddick",70,21,6,0.76,0.59,133
"558","Andy Roddick",298,13,1,0.76,0.62,95
"559","Andy Roddick",59,20,4,0.76,0.59,157
"560","Andy Roddick",158,13,0,0.76,0.56,90
"561","Andy Roddick",33,9,0,0.76,0.68,68
"562","Andy Roddick",138,5,1,0.76,0.62,73
"563","Andy Roddick",48,15,1,0.76,0.71,57
"564","Andy Roddick",20,7,0,0.76,0.65,74
"565","Andy Roddick",61,15,1,0.76,0.67,113
"566","Andy Roddick",74,10,2,0.76,0.58,112
"567","Andy Roddick",72,7,2,0.76,0.63,122
"568","Andy Roddick",11,11,0,0.76,0.73,72
"569","Andy Roddick",54,9,1,0.76,0.65,83
"570","Andy Roddick",241,4,5,0.64,0.81,169
"571","Andy Roddick",165,17,1,0.64,0.84,186
"572","Andy Roddick",203,14,3,0.76,0.68,162
"573","Andy Roddick",61,9,4,0.76,0.58,99
"574","Andy Roddick",51,6,2,0.76,0.5,88
"575","Andy Roddick",186,14,1,0.8,0.75,181
"576","Andy Roddick",88,13,3,0.8,0.73,122
"577","Andy Roddick",63,10,1,0.76,0.69,74
"578","Andy Roddick",3,12,2,0.76,0.69,121
"579","Andy Roddick",62,5,0,0.8,0.79,99
"580","Andy Roddick",115,11,1,0.76,0.63,99
"581","Andy Roddick",66,10,1,0.76,0.67,98
"582","Andy Roddick",96,12,1,0.76,0.73,73
"583","Andy Roddick",11,7,1,0.76,0.65,148
"584","Andy Roddick",63,18,4,0.76,0.6,134
"585","Andy Roddick",53,13,1,0.76,0.72,103
"586","Andy Roddick",63,5,1,0.8,0.73,25
"587","Andy Roddick",58,7,0,0.8,0.62,84
"588","Andy Roddick",64,4,1,0.8,0.66,131
"589","Andy Roddick",72,6,0,0.8,0.54,61
"590","Andy Roddick",26,5,2,0.8,0.75,72
"591","Andy Roddick",289,20,4,0.76,0.75,118
"592","Andy Roddick",43,13,0,0.76,0.73,87
"593","Andy Roddick",59,10,0,0.76,0.66,180
"594","Andy Roddick",52,7,3,0.76,0.63,160
"595","Albert Costa",24,14,5,0.76,0.51,146
"596","Andre Agassi",1,2,3,0.76,0.48,65
"597","Gianluca Pozzi",49,15,4,0.76,0.6,73
"598","Laurence Tieleman",104,5,0,0.76,0.54,84
"599","Andre Agassi",1,11,3,0.76,0.59,69
"600","Harel Levy",38,10,7,0.8,0.58,122
"601","Tommy Haas",21,15,4,0.76,0.65,115
"602","Lleyton Hewitt",7,5,4,0.76,0.46,72
"603","Lleyton Hewitt",4,21,10,0.76,0.51,220
"604","Mikhail Youzhny",84,6,4,0.8,0.55,70
"605","Lleyton Hewitt",6,0,5,0.64,0.57,138
"606","Thomas Enqvist",27,22,5,0.76,0.6,144
"607","Sjeng Schalken",25,15,4,0.71,0.6,100
"608","Jiri Vanek",87,15,9,0.76,0.6,129
"609","Gustavo Kuerten",1,7,5,0.76,0.41,77
"610","Marat Safin",2,6,1,0.76,0.7,63
"611","Andrei Pavel",43,12,5,0.76,0.62,127
"612","Jan Michael Gambill",26,9,1,0.76,0.65,92
"613","Andre Sa",109,12,4,0.76,0.63,108
"614","Roger Federer",13,9,1,0.71,0.58,101
"615","Goran Ivanisevic",125,22,5,0.8,0.62,114
"616","Davide Sanguinetti",60,14,5,0.76,0.57,112
"617","Juan Ignacio Chela",37,14,2,0.76,0.6,91
"618","Mikhail Youzhny",44,6,2,0.76,0.67,68
"619","Roger Federer",13,5,4,0.76,0.54,81
"620","Greg Rusedski",39,4,6,0.8,0.58,85
"621","Ivan Ljubicic",37,7,1,0.76,0.54,71
"622","Andre Agassi",5,9,4,0.76,0.52,49
"623","Guillermo Canas",19,9,5,0.76,0.67,76
"624","Jan Michael Gambill",53,6,1,0.76,0.68,71
"625","Fernando Gonzalez",39,19,8,0.76,0.57,114
"626","Paradorn Srichaphan",21,15,0,0.71,0.57,84
"627","Julien Boutter",60,5,1,0.64,0.54,79
"628","Tommy Haas",7,4,2,0.64,0.65,75
"629","Tommy Haas",7,1,2,0.64,0.52,74
"630","Roger Federer",8,14,0,0.71,0.64,70
"631","Wayne Arthurs",91,6,7,0.64,0.54,196
"632","Jonas Bjorkman",60,6,4,0.8,0.71,90
"633","Pete Sampras",17,8,3,0.76,0.68,89
"634","Fernando Meligeni",61,3,6,0.76,0.44,90
"635","Arnaud Clement",47,11,3,0.64,0.54,107
"636","Sargis Sargsian",67,7,5,0.64,0.52,140
"637","Agustin Calleri",31,3,2,0.64,0.51,96
"638","Martin Verkerk",68,12,2,0.64,0.52,114
"639","Albert Portas",96,3,1,0.64,0.69,79
"640","Rainer Schuettler",36,11,4,0.76,0.62,139
"641","David Nalbandian",9,13,1,0.71,0.58,95
"642","Mardy Fish",66,7,2,0.76,0.61,83
"643","Tim Henman",38,11,2,0.76,0.55,109
"644","Tim Henman",31,10,1,0.71,0.57,121
"645","Roger Federer",5,4,0,0.8,0.58,103
"646","Taylor Dent",68,7,3,0.76,0.64,60
"647","Nicolas Massu",21,6,3,0.76,0.53,81
"648","Rainer Schuettler",15,4,4,0.76,0.58,60
"649","Andre Agassi",2,11,2,0.64,0.56,95
"650","Todd Martin",114,10,4,0.76,0.62,105
"651","Hyung Taik Lee",85,10,5,0.76,0.6,161
"652","Roger Federer",3,5,1,0.76,0.73,62
"653","Rainer Schuettler",6,12,8,0.76,0.53,155
"654","Andre Agassi",11,30,3,0.76,0.63,126
"655","Roger Federer",1,4,2,0.76,0.68,85
"656","Jonas Bjorkman",30,6,2,0.76,0.56,70
"657","Roger Federer",1,8,2,0.76,0.7,57
"658","Guillermo Canas",80,4,2,0.64,0.49,82
"659","Joachim Johansson",30,34,5,0.76,0.64,173
"660","Olivier Mutis",125,15,6,0.64,0.53,191
"661","Tommy Haas",349,6,1,0.64,0.66,71
"662","Marat Safin",86,18,2,0.76,0.63,203
"663","Tim Henman",10,12,4,0.76,0.59,152
"664","Thomas Enqvist",80,17,7,0.76,0.59,78
"665","Max Mirnyi",71,13,1,0.71,0.57,65
"666","Vincent Spadea",29,6,5,0.76,0.62,123
"667","Roger Federer",1,11,5,0.8,0.61,151
"668","Lleyton Hewitt",3,9,1,0.76,0.66,58
"669","Rafael Nadal",51,14,8,0.64,0.56,219
"670","Carlos Moya",5,12,6,0.64,0.58,149
"671","Fernando Verdasco",56,12,0,0.64,0.72,154
"672","Nicolas Massu",25,19,3,0.64,0.65,178
"673","Robby Ginepri",98,16,8,0.76,0.57,123
"674","Ivo Karlovic",86,14,5,0.76,0.64,126
"675","Jose Acasuso",62,13,5,0.64,0.65,201
"676","Lleyton Hewitt",3,31,9,0.76,0.56,174
"677","Ivan Ljubicic",10,10,1,0.71,0.62,65
"678","Roger Federer",1,11,1,0.76,0.56,75
"679","Paul Henri Mathieu",63,3,1,0.76,0.54,80
"680","Roger Federer",1,7,1,0.8,0.71,101
"681","Fernando Verdasco",45,10,5,0.76,0.68,76
"682","Lleyton Hewitt",2,25,1,0.76,0.6,153
"683","Gilles Muller",68,16,0,0.76,0.72,125
"684","Ivan Ljubicic",14,19,3,0.76,0.67,239
"685","Nicolas Massu",35,1,0,0.64,0.45,33
"686","Alberto Martin",68,7,3,0.64,0.54,101
"687","David Ferrer",11,10,2,0.76,0.62,112
"688","Julien Benneteau",122,14,3,0.76,0.71,133
"689","Igor Andreev",26,4,5,0.76,0.57,126
"690","Andy Murray",44,21,3,0.8,0.69,151
"691","Tommy Haas",27,11,3,0.64,0.64,131
"692","Tomas Berdych",11,12,4,0.76,0.7,81
"693","Fernando Gonzalez",10,12,0,0.76,0.68,127
"694","Marcos Baghdatis",54,15,4,0.76,0.6,152
"695","Andy Murray",60,6,2,0.76,0.55,69
"696","James Blake",6,18,3,0.76,0.74,123
"697","Roger Federer",1,7,1,0.76,0.66,145
"698","James Blake",7,9,1,0.8,0.77,74
"699","Gael Monfils",35,2,1,0.64,0.61,71
"700","Roger Federer",1,12,1,0.76,0.63,149
"701","David Nalbandian",7,18,1,0.76,0.75,98
"702","Andrei Pavel",82,22,11,0.76,0.58,223
"703","Marat Safin",72,33,8,0.64,0.48,288
"704","Dmitry Tursunov",22,6,3,0.64,0.54,130
"705","Roger Federer",1,14,0,0.76,0.72,121
"706","Igor Andreev",125,5,3,0.64,0.61,163
"707","Frank Dancevic",109,8,5,0.76,0.47,96
"708","Juan Ignacio Chela",23,2,1,0.64,0.5,70
"709","Novak Djokovic",4,5,1,0.76,0.67,106
"710","David Ferrer",15,9,1,0.76,0.62,85
"711","Andy Murray",13,9,3,0.76,0.7,93
"712","Richard Gasquet",14,22,4,0.8,0.63,214
"713","Gael Monfils",75,0,3,0.64,0.45,164
"714","Tommy Haas",9,7,2,0.76,0.51,62
"715","Fabrice Santoro",46,17,4,0.71,0.67,121
"716","Roger Federer",1,4,2,0.76,0.63,83
"717","Rafael Nadal",2,16,2,0.76,0.58,74
"718","Andy Murray",12,2,1,0.76,0.54,36
"719","David Ferrer",6,4,1,0.76,0.61,73
"720","Roger Federer",1,7,2,0.76,0.63,61
"721","Robin Soderling",27,22,2,0.71,0.72,84
"722","Gael Monfils",18,13,3,0.76,0.62,100
"723","Janko Tipsarevic",40,27,4,0.8,0.71,187
"724","Juan Martin Del Potro",24,4,2,0.76,0.62,89
"725","Marin Cilic",44,13,2,0.76,0.69,115
"726","Rafael Nadal",2,14,3,0.8,0.65,87
"727","Viktor Troicki",93,13,3,0.76,0.61,101
"728","Stanislas Wawrinka",24,0,1,0.64,0.4,29
"729","Philipp Kohlschreiber",27,42,3,0.76,0.72,230
"730","Tomas Berdych",27,25,4,0.76,0.73,133
"731","Jo Wilfried Tsonga",14,14,0,0.76,0.67,166
"732","Novak Djokovic",3,14,7,0.76,0.69,154
"733","Nikolay Davydenko",4,9,1,0.76,0.72,89
"734","Robin Soderling",42,15,2,0.76,0.7,86
"735","Tommy Haas",36,6,2,0.76,0.54,85
"736","Andy Murray",4,3,1,0.76,0.78,96
"737","David Ferrer",5,23,4,0.64,0.63,197
"738","Rafael Nadal",1,8,4,0.64,0.62,133
"739","Roger Federer",2,6,4,0.76,0.7,123
"740","Lukasz Kubot",143,5,4,0.76,0.69,81
"741","Rafael Nadal",1,9,1,0.76,0.68,110
"742","John Isner",55,20,2,0.76,0.66,231
"743","James Blake",16,4,0,0.8,0.54,32
"744","Roger Federer",2,9,1,0.64,0.67,131
"745","Andy Murray",4,3,0,0.76,0.7,71
"746","Stanislas Wawrinka",22,4,0,0.76,0.73,36
"747","Roger Federer",2,8,2,0.76,0.65,125
"748","Gael Monfils",10,4,1,0.64,0.71,111
"749","Sam Querrey",26,10,0,0.76,0.66,118
"750","Juan Martin Del Potro",6,11,2,0.76,0.71,127
"751","Radek Stepanek",21,19,1,0.76,0.78,133
"752","Roger Federer",2,27,4,0.8,0.71,256
"753","Juan Martin Del Potro",6,21,4,0.76,0.68,150
"754","Yen Hsun Lu",82,38,8,0.8,0.68,276
"755","Janko Tipsarevic",44,18,3,0.76,0.66,198
"756","Mardy Fish",49,8,2,0.76,0.63,102
"757","Guillermo Garcia Lopez",35,7,0,0.76,0.77,57
"758","Marin Cilic",14,15,1,0.76,0.64,230
"759","Robin Soderling",5,15,2,0.76,0.71,87
"760","Mardy Fish",36,11,4,0.76,0.6,136
"761","Fernando Verdasco",11,10,2,0.76,0.7,131
"762","Gael Monfils",15,8,0,0.76,0.66,176
"763","Roger Federer",2,4,4,0.76,0.63,70
"764","Teymuraz Gabashvili",114,4,1,0.64,0.72,114
"765","Ivan Ljubicic",26,12,0,0.76,0.72,127
"766","Sam Querrey",31,11,2,0.76,0.71,95
"767","Dudi Sela",63,10,1,0.8,0.68,107
"768","Gilles Simon",33,3,0,0.76,0.55,70
"769","Rafael Nadal",1,18,3,0.76,0.62,154
"770","Novak Djokovic",3,4,1,0.76,0.6,67
"771","Tomas Berdych",6,9,2,0.76,0.63,85
"772","Rafael Nadal",2,9,3,0.76,0.59,113
"773","Andy Murray",4,3,1,0.8,0.83,59
"774","Stanislas Wawrinka",19,9,4,0.76,0.62,142
"775","Philipp Kohlschreiber",47,17,6,0.76,0.65,135
"776","Feliciano Lopez",44,23,6,0.8,0.63,138
"777","Gilles Simon",19,1,0,0.64,0.68,82
"778","John Isner",28,10,2,0.76,0.7,95
"779","Roger Federer",4,3,1,0.76,0.36,64
"780","Pablo Cuevas",67,9,6,0.76,0.55,117
"781","Richard Gasquet",21,7,1,0.76,0.64,106
"782","Robin Soderling",5,12,1,0.76,0.66,95
"783","Flavio Cipolla",160,5,2,0.64,0.68,183
"784","Kevin Anderson",31,5,1,0.76,0.72,102
"785","David Ferrer",5,11,2,0.76,0.6,154
"786","Andy Murray",3,1,0,0.76,0.61,62
"787","David Ferrer",6,16,6,0.76,0.62,165
"788","Edouard Roger Vasselin",67,22,2,0.8,0.79,121
"789","Denis Istomin",61,5,0,0.76,0.62,77
"790","Jeremy Chardy",38,7,4,0.76,0.61,94
"791","Kevin Anderson",36,8,4,0.76,0.65,153
"792","Xavier Malisse",75,6,1,0.76,0.66,108
"793","David Ferrer",5,15,1,0.8,0.72,158
"794","Juan Monaco",21,2,2,0.76,0.61,101
"795","Nicolas Mahut",89,8,4,0.64,0.61,142
"796","Novak Djokovic",2,5,1,0.8,0.6,54
"797","Steve Darcis",81,8,0,0.76,0.71,111
"798","Lleyton Hewitt",181,8,2,0.76,0.62,132
"799","Juan Martin Del Potro",8,20,6,0.76,0.63,195
"800","Tomas Berdych",7,8,3,0.76,0.66,126
"801","Go Soeda",60,3,2,0.64,0.62,113
"802","Carlos Berlocq",37,2,4,0.64,0.67,90
"803","Tomas Berdych",7,0,0,0.64,0.44,61
